"run_id","metric_name","metric_value"
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","accepted_candidates",1
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","accepted_candidates",0
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","accepted_high_confidence_candidates",0
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","accepted_high_confidence_candidates",0
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","accepted_needs_review_candidates",1
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","accepted_needs_review_candidates",0
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","average_cluster_size",261.0
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","average_cluster_size",0.0
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","candidates_generated",1
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","candidates_generated",0
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","clusters_detected_before_quality_gates",3
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","clusters_detected_before_quality_gates",3
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","clusters_rejected",2
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","clusters_rejected",3
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","clusters_valid",1
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","clusters_valid",0
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","conversations_analyzed",3525
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","conversations_analyzed",6806
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","duplicates_omitted",0
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","duplicates_omitted",0
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","embeddings_persisted",3
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","embeddings_persisted",0
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","faq_candidate_messages",261
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","faq_candidate_messages",715
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","llm_publish_false",0
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","llm_publish_false",0
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","llm_rejected",0
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","llm_rejected",0
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","rejected_generation_confidence",0
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","rejected_generation_confidence",0
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","rejected_insufficient_answer_evidence",0
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","rejected_insufficient_answer_evidence",0
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","rejected_insufficient_question_evidence",0
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","rejected_insufficient_question_evidence",0
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","rejected_invalid_canonical_answer",0
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","rejected_invalid_canonical_answer",0
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","rejected_invalid_canonical_question",0
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","rejected_invalid_canonical_question",2
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","rejected_low_cohesion",1
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","rejected_low_cohesion",1
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","rejected_low_support",0
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","rejected_low_support",0
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","rejected_mixed_intent",1
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","rejected_mixed_intent",0
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","silhouette_score",0.149
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","silhouette_score",0.053
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","since_days",90
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","since_days",365
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","validator_rejected",0
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","validator_rejected",2
"39348cc2-ff3f-4d19-b203-23b8215f9d7f","workspaces_processed",1
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e","workspaces_processed",1
